OBJECTID;Id;POINT_X;POINT_Y;POINT_Z;POINT_M;RASTERVALU
222;0;854361,789100000052713;988036,588800000026822;2756,640489649999836;nan;-8,5934114
223;0;854426,789100000052713;988036,588800000026822;2777,930024109999977;nan;-8,7531633
224;0;854491,789100000052713;988036,588800000026822;2781,149067490000107;nan;-8,8217564
225;0;854556,789100000052713;988036,588800000026822;2748,960843310000200;nan;-8,9017830
226;0;854621,789100000052713;988036,588800000026822;2708,110913720000099;nan;-8,9703770
227;0;854686,789100000052713;988036,588800000026822;2691,179582019999998;nan;-8,9081535
228;0;854751,789100000052713;988036,588800000026822;2698,981917919999887;nan;-8,8060474
229;0;854816,789100000052713;988036,588800000026822;2720,278763230000095;nan;-8,6869230
230;0;854881,789100000052713;988036,588800000026822;2722,282091489999857;nan;-8,5602531
231;0;854946,789100000052713;988036,588800000026822;2707,085109269999975;nan;-8,2691813
232;0;855011,789100000052713;988036,588800000026822;2662,415433669999857;nan;-8,0196905
233;0;855076,789100000052713;988036,588800000026822;2621,052510970000185;nan;-7,7286186
234;0;855141,789100000052713;988036,588800000026822;2581,584834620000038;nan;-7,2651024
235;0;855206,789100000052713;988036,588800000026822;2541,446089900000061;nan;-6,5994854
236;0;855271,789100000052713;988036,588800000026822;2524,820729170000050;nan;-6,0289569
237;0;855336,789100000052713;988036,588800000026822;2525,735352690000127;nan;-5,3339601
238;0;855401,789100000052713;988036,588800000026822;2526,658647220000148;nan;-4,5871515
239;0;855466,789100000052713;988036,588800000026822;2521,728158039999926;nan;-3,7158751
240;0;855531,789100000052713;988036,588800000026822;2517,208183390000158;nan;-2,9690669
241;0;853646,789100000052713;988102,588800000026822;2400,449020680000103;nan;-4,2498474
242;0;853711,789100000052713;988102,588800000026822;2372,962537360000169;nan;-4,6472325
243;0;853776,789100000052713;988102,588800000026822;2392,460320929999853;nan;-5,1878786
244;0;853841,789100000052713;988102,588800000026822;2429,217617169999812;nan;-5,6622944
245;0;853906,789100000052713;988102,588800000026822;2454,868444920000002;nan;-6,2157788
246;0;853971,789100000052713;988102,588800000026822;2481,590709090000018;nan;-6,6759953
247;0;854036,789100000052713;988102,588800000026822;2527,180163859999993;nan;-7,1797824
248;0;854101,789100000052713;988102,588800000026822;2596,453075330000047;nan;-7,6115999
249;0;854166,789100000052713;988102,588800000026822;2637,485560680000162;nan;-8,1153870
250;0;854231,789100000052713;988102,588800000026822;2671,789250079999874;nan;-8,3033619
251;0;854296,789100000052713;988102,588800000026822;2705,799996900000224;nan;-8,4657688
252;0;854361,789100000052713;988102,588800000026822;2744,219284989999778;nan;-8,6049747
253;0;854426,789100000052713;988102,588800000026822;2773,357195560000036;nan;-8,7359324
254;0;854491,789100000052713;988102,588800000026822;2779,175660349999816;nan;-8,7807894
255;0;854556,789100000052713;988102,588800000026822;2748,121607839999797;nan;-8,8331223
256;0;854621,789100000052713;988102,588800000026822;2711,319392100000186;nan;-8,8779793
257;0;854686,789100000052713;988102,588800000026822;2691,337472619999971;nan;-8,8072186
258;0;854751,789100000052713;988102,588800000026822;2709,345962599999893;nan;-8,7043638
259;0;854816,789100000052713;988102,588800000026822;2727,499419310000121;nan;-8,5843658
260;0;854881,789100000052713;988102,588800000026822;2736,614352189999863;nan;-8,4578905
261;0;854946,789100000052713;988102,588800000026822;2730,548920010000074;nan;-8,1725540
262;0;855011,789100000052713;988102,588800000026822;2691,782770450000044;nan;-7,9279809
263;0;855076,789100000052713;988102,588800000026822;2645,792720190000182;nan;-7,6426449
264;0;855141,789100000052713;988102,588800000026822;2599,368979670000044;nan;-7,1918697
265;0;855206,789100000052713;988102,588800000026822;2559,539092699999856;nan;-6,5456805
266;0;855271,789100000052713;988102,588800000026822;2544,284460570000192;nan;-5,9918046
267;0;855336,789100000052713;988102,588800000026822;2542,016621239999949;nan;-5,3178935
268;0;855401,789100000052713;988102,588800000026822;2537,099464420000004;nan;-4,5976853
269;0;855466,789100000052713;988102,588800000026822;2515,641141340000104;nan;-3,7574430
270;0;855531,789100000052713;988102,588800000026822;2515,000000000000000;nan;-3,0372348
271;0;853646,789100000052713;988168,588800000026822;2403,033501880000131;nan;-4,1511679
272;0;853711,789100000052713;988168,588800000026822;2380,776794899999913;nan;-4,5692511
273;0;853776,789100000052713;988168,588800000026822;2388,484236379999857;nan;-5,1329365
274;0;853841,789100000052713;988168,588800000026822;2435,947875010000189;nan;-5,6269417
275;0;853906,789100000052713;988168,588800000026822;2461,846529420000024;nan;-6,2032804
276;0;853971,789100000052713;988168,588800000026822;2483,079572170000120;nan;-6,6829724
277;0;854036,789100000052713;988168,588800000026822;2542,546007179999833;nan;-7,2092156
278;0;854101,789100000052713;988168,588800000026822;2589,129373700000087;nan;-7,6602807
279;0;854166,789100000052713;988168,588800000026822;2640,828014149999944;nan;-8,1865244
280;0;854231,789100000052713;988168,588800000026822;2669,792024970000057;nan;-8,3598080
281;0;854296,789100000052713;988168,588800000026822;2699,983861080000224;nan;-8,4971581
282;0;854361,789100000052713;988168,588800000026822;2725,306434449999870;nan;-8,6148863
283;0;854426,789100000052713;988168,588800000026822;2755,660508349999873;nan;-8,7211637
284;0;854491,789100000052713;988168,588800000026822;2769,132155459999922;nan;-8,7456741
285;0;854556,789100000052713;988168,588800000026822;2744,544866209999782;nan;-8,7742701
286;0;854621,789100000052713;988168,588800000026822;2709,202133130000220;nan;-8,7987814
287;0;854686,789100000052713;988168,588800000026822;2693,323464380000132;nan;-8,7207041
288;0;854751,789100000052713;988168,588800000026822;2705,944555319999836;nan;-8,6172056
289;0;854816,789100000052713;988168,588800000026822;2725,394178370000191;nan;-8,4964590
290;0;854881,789100000052713;988168,588800000026822;2742,517981890000101;nan;-8,3701506
291;0;854946,789100000052713;988168,588800000026822;2746,695299689999956;nan;-8,0897312
292;0;855011,789100000052713;988168,588800000026822;2706,571657959999811;nan;-7,8493724
293;0;855076,789100000052713;988168,588800000026822;2659,821172490000208;nan;-7,5689535
294;0;855141,789100000052713;988168,588800000026822;2618,592000889999781;nan;-7,1290984
295;0;855206,789100000052713;988168,588800000026822;2578,073945139999978;nan;-6,4995623
296;0;855271,789100000052713;988168,588800000026822;2556,046357379999790;nan;-5,9599595
297;0;855336,789100000052713;988168,588800000026822;2545,218646620000072;nan;-5,3041224
298;0;855401,789100000052713;988168,588800000026822;2524,915934390000075;nan;-4,6067147
299;0;855466,789100000052713;988168,588800000026822;2515,733879500000057;nan;-3,7930722
300;0;855531,789100000052713;988168,588800000026822;2514,346330029999990;nan;-3,0956645
